,training_params.lr,training_params.lr_end,training_params.k,vae_params.dim_z,loss,reg_loss,vel R2
0,0.0012606534884715974,1.2606534884715974e-05,192,5,40.04808250633446,0.0,0.7862276044364405
1,0.0014698654575868754,1.4698654575868754e-05,192,6,39.35485200624208,0.0,0.9091527675340284
2,0.001198340119269642,1.198340119269642e-05,128,6,39.45816792668523,0.0,0.9110811261160531
3,0.0015088277279520518,1.5088277279520518e-05,192,5,39.51536178588867,0.0,0.8745514120298241
4,0.0011040845087853905,1.1040845087853906e-05,128,5,39.70572280883789,0.0,0.8959971534843428
5,0.0013170848081974671,1.3170848081974672e-05,192,6,39.32192302394558,0.0,0.9011042464923922
6,0.0014238269894554746,1.4238269894554746e-05,192,5,39.74435084574932,0.0,0.8786982668733653
7,0.0017275199547415788,1.727519954741579e-05,128,4,40.35190571965398,0.0,0.7162247341837924
8,0.0015271689596270887,1.5271689596270888e-05,192,6,40.432820397454336,0.0,0.8859555049002685
9,0.0013196082633708968,1.3196082633708968e-05,192,3,40.344523043245886,0.0,0.5878385036018265
